epoch,train_loss
1,1153927135.232
2,1149219151.872
3,1211668037.632
4,1151111774.208
5,1060971995.136
6,1157659344.896
7,1110804594.688
8,1060384284.672
9,1096468783.104
10,971344887.808
11,863164907.52
12,825174745.088
13,708367204.352
14,591322062.848
15,462821433.344
16,369587322.88
17,300864952.32
18,240670142.464
19,191672369.152
20,154553038.848
21,125833064.448
22,112857180.16
23,101955441.664
24,97643354.112
25,93041942.528
26,86023511.04
27,91219990.528
28,88804368.384
29,87186189.824
30,86120406.016
31,87075054.592
32,81831770.112
33,83502024.192
34,83631167.488
35,80566732.8
36,77217471.488
37,81198472.192
38,82345084.928
39,81654729.216
40,78087997.44
41,82431062.016
42,78512511.488
43,79370872.832
44,77240714.24
45,77463756.288
46,79975106.048
47,80055552.512
48,79192496.64
49,79551560.192
50,76914685.44
51,76334285.312
52,75310641.664
53,75467140.096
54,73099317.248
55,77300710.4
56,72432236.032
57,72757405.184
58,70334355.456
59,74273691.136
60,73903876.608
61,69475631.616
62,72931268.608
63,72301329.408
64,70600491.52
65,71040402.432
66,70929321.984
67,69790440.448
68,69304669.184
69,66920729.6
70,67733593.088
71,65434115.072
72,64458565.632
73,67270888.96
74,65851667.456
75,66054578.688
76,67252505.6
77,63061117.952
78,61768750.08
79,64267516.416
80,61810345.472
81,61001979.392
82,61350887.936
83,59297207.808
84,58012070.4
85,60234089.472
86,58671052.288
87,57816263.68
88,55951370.24
89,53676293.12
90,54757030.4
91,55880473.6
92,54457383.936
93,53070857.216
94,50650015.744
95,51344212.48
96,48164989.952
97,48039312.896
98,47809149.44
99,46393034.752
100,46922757.632
101,46139736.064
102,44292706.816
103,44699540.992
104,44706135.808
105,40222850.56
106,41516132.352
107,40875132.928
108,38964632.576
109,37065516.8
110,37704352.512
111,38017772.544
112,37334238.208
113,35887794.688
114,34674277.12
115,34660349.184
116,33246431.488
117,35435134.72
118,33144152.064
119,34657824.256
120,33377448.704
121,32879328.256
122,33095889.92
123,33515320.576
124,32294217.472
125,32080362.496
126,32407404.288
127,30809231.872
128,30559462.144
129,31109092.096
130,29823040.768
131,30789312.0
132,29569908.48
133,29484081.664
134,28483067.648
135,28698780.928
136,28670041.344
137,27473393.92
138,28288745.728
139,27960633.344
140,27781401.856
141,26507119.36
142,25948720.384
143,25099599.616
144,26949484.288
145,27877164.544
146,25091554.56
147,26919176.448
148,26762926.336
149,26188293.376
150,25325127.68
151,25712770.304
152,23948677.888
153,23972427.776
154,25265020.16
155,23796256.512
156,24034636.16
157,23412251.776
158,23116874.24
159,23071056.128
160,22635439.104
161,22403650.048
162,22590894.336
163,22455558.912
164,22143561.344
165,21244217.856
166,21760169.216
167,20799593.344
168,20924426.88
169,20451891.2
170,20544927.616
171,20640503.808
172,20307768.32
173,20530989.568
174,20061816.064
175,19676993.152
176,19403028.736
177,19268526.592
178,19650893.312
179,18693327.232
180,17697568.256
181,17627271.936
182,17882500.864
183,17433629.568
184,17387609.216
185,17889411.712
186,17190767.488
187,17027739.776
188,17257458.432
189,16841969.664
190,16392106.752
191,16952740.48
192,15825262.848
193,15516115.84
194,15705695.232
195,15540002.944
196,15655875.712
197,14664426.496
198,14859886.976
199,14840785.408
200,14913316.48
201,14992633.984
202,14185560.576
203,14673598.72
204,13904090.88
205,13751877.504
206,13954572.16
207,13488687.36
208,13317909.888
209,13579185.536
210,12850443.904
211,12661089.408
212,12951655.552
213,12584099.968
214,12285059.072
215,12164528.64
216,12492269.056
217,11356279.68
218,12144055.296
219,11594448.64
220,11818974.208
221,11423365.824
222,11196096.128
223,11582277.504
224,10610449.152
225,10335137.28
226,10639721.216
227,10697209.728
228,10624307.456
229,10363990.144
230,9731834.944
231,9779879.616
232,9957601.152
233,9579895.68
234,9586795.264
235,9404256.064
236,9347396.928
237,8803331.84
238,9142039.552
239,8731478.464
240,8588832.256
241,8405645.184
242,8466837.632
243,8176606.016
244,8126639.68
245,8114012.608
246,7924966.272
247,7738817.728
248,7591611.584
249,7479980.8
250,7237953.024
251,6823130.304
252,6957136.448
253,6840429.248
254,6795619.264
255,6629040.832
256,6320626.56
257,6386319.488
258,6254296.064
259,6238359.808
260,5917905.152
261,5704119.232
262,5494509.184
263,5447696.64
264,5533241.344
265,5441211.904
266,5346992.96
267,5287947.2
268,5008399.872
269,4999188.672
270,4846959.936
271,4751609.6
272,4577848.768
273,4748577.28
274,4578874.88
275,4532231.68
276,4417450.208
277,4351466.016
278,4282183.2
279,4226176.416
280,4219716.64
281,4093374.656
282,4079441.408
283,4019569.888
284,3938486.432
285,3770468.576
286,3728898.816
287,3850906.112
288,3702102.912
289,3662006.56
290,3582769.44
291,3462255.68
292,3497023.936
293,3574889.216
294,3463056.672
295,3428412.224
296,3402984.48
297,3266964.352
298,3368470.304
299,3248039.168
300,3283056.512
301,3259332.416
302,3149505.408
303,3136713.056
304,2924466.304
305,3080076.736
306,3097638.528
307,2974481.6
308,3068644.096
309,3013594.656
310,2860460.128
311,3017572.608
312,2921906.912
313,2857946.624
314,2790681.28
315,2849266.56
316,2772481.024
317,2777627.84
318,2686229.984
319,2782303.776
320,2730519.68
321,2671577.696
322,2606115.808
323,2647602.336
324,2666404.256
325,2605088.416
326,2599542.592
327,2538599.04
328,2602725.44
329,2543822.016
330,2553578.976
331,2501582.4
332,2439204.416
333,2480914.56
334,2542998.496
335,2448500.272
336,2415203.328
337,2405638.4
338,2426456.928
339,2271029.248
340,2382143.472
341,2358652.32
342,2355655.904
343,2316838.24
344,2306562.464
345,2297938.208
346,2286105.056
347,2180231.328
348,2281650.304
349,2258795.248
350,2141186.64
351,2248988.928
352,2203131.856
353,2215616.928
354,2158050.512
355,2168752.48
356,2077744.992
357,2138515.376
358,2154308.544
359,2177085.92
360,2157786.544
361,2160214.848
362,2107024.304
363,2011389.616
364,2062972.928
365,2064425.008
366,2061476.88
367,2092653.936
368,2004377.616
369,2084621.104
370,2007697.6
371,2000590.336
372,2004607.376
373,2032907.248
374,1975134.912
375,1972773.072
376,2040454.544
377,1902922.016
378,1989151.392
379,1898604.8
380,1926474.928
381,1894445.968
382,1958951.472
383,1921349.84
384,1912531.856
385,1933898.368
386,1913281.824
387,1923292.752
388,1885309.568
389,1852767.408
390,1872334.736
391,1868549.152
392,1824294.4
393,1838382.16
394,1822985.808
395,1782299.92
396,1779330.784
397,1805996.64
398,1813794.208
399,1818577.504
400,1738167.008
401,1737069.28
402,1782453.136
403,1764282.64
404,1771621.808
405,1734822.432
406,1741176.16
407,1738086.096
408,1706416.016
409,1703139.584
410,1692063.376
411,1735222.128
412,1721667.792
413,1740870.544
414,1730257.376
415,1704535.968
416,1707777.792
417,1705250.176
418,1669971.36
419,1674909.088
420,1660127.248
421,1690060.688
422,1662583.184
423,1618655.792
424,1648153.488
425,1616431.152
426,1621184.512
427,1669141.744
428,1620290.448
429,1617884.0
430,1607448.576
431,1629198.288
432,1564732.704
433,1583580.656
434,1573236.688
435,1599597.6
436,1582238.784
437,1561343.056
438,1574614.816
439,1546469.616
440,1559290.928
441,1583224.08
442,1487441.52
443,1550993.376
444,1523337.536
445,1482304.016
446,1545531.072
447,1512549.088
448,1525123.344
449,1472375.776
450,1468405.44
451,1510215.52
452,1489731.264
453,1479903.04
454,1509916.528
455,1522644.352
456,1489138.016
457,1475558.88
458,1449797.072
459,1470033.424
460,1463101.728
461,1463214.592
462,1454556.976
463,1434155.36
464,1455448.192
465,1468404.032
466,1452373.76
467,1468236.048
468,1432584.88
469,1416817.44
470,1445700.336
471,1436865.952
472,1426887.472
473,1411955.456
474,1383224.112
475,1402617.536
476,1395604.592
477,1415801.824
478,1420531.904
479,1418309.152
480,1382919.76
481,1364116.16
482,1347563.712
483,1392082.0
484,1340973.52
485,1375130.016
486,1345872.0
487,1348765.312
488,1388371.68
489,1369610.384
490,1356756.624
491,1344981.696
492,1345839.744
493,1346872.256
494,1316017.248
495,1327854.864
496,1346677.312
497,1352591.312
498,1304343.776
499,1333343.184
500,1303133.44
501,1341283.92
502,1294730.128
503,1320838.32
504,1327924.912
505,1293172.496
506,1308145.312
507,1314925.456
508,1276543.728
509,1252438.736
510,1235644.672
511,1262569.296
512,1262524.144
513,1245772.552
514,1247181.896
515,1269123.696
516,1261597.344
517,1279624.272
518,1278049.968
519,1255481.552
520,1242639.648
521,1241508.352
522,1263505.76
523,1253758.784
524,1242650.384
525,1246852.672
526,1209688.704
527,1194022.768
528,1184317.904
529,1252368.064
530,1214052.464
531,1214930.0
532,1203657.872
533,1247818.992
534,1174556.64
535,1227032.928
536,1207308.576
537,1194477.952
538,1203524.736
539,1199817.168
540,1212735.024
541,1196757.2
542,1192060.352
543,1215161.408
544,1202060.112
545,1176417.12
546,1141467.808
547,1167334.224
548,1183836.288
549,1180354.576
550,1171319.824
551,1169601.008
552,1151816.384
553,1161419.424
554,1165340.16
555,1176278.624
556,1146911.2
557,1154949.552
558,1112426.08
559,1111233.136
560,1113835.28
561,1146320.4
562,1110852.624
563,1131889.264
564,1118231.728
565,1129813.52
566,1116738.816
567,1126510.672
568,1122676.816
569,1141008.896
570,1123582.688
571,1111219.584
572,1127952.56
573,1102860.728
574,1109998.736
575,1101621.416
576,1100007.32
577,1132157.632
578,1120063.872
579,1062514.592
580,1112796.296
581,1100823.504
582,1094869.56
583,1076908.896
584,1087688.272
585,1094171.36
586,1096235.28
587,1108827.728
588,1074256.928
589,1067596.88
590,1078184.248
591,1066492.736
592,1058098.432
593,1064718.56
594,1064013.952
595,1036370.688
596,1076705.84
597,1048041.768
598,1052588.896
599,1065406.864
600,1049530.768
601,1061728.144
602,1047762.944
603,1066300.288
604,1035673.864
605,1058838.48
606,1047032.216
607,1034556.68
608,1056476.856
609,1042834.432
610,1052950.168
611,1032625.152
612,1017125.704
613,1013821.16
614,1053923.144
615,1007489.312
616,1030697.664
617,1038136.44
618,1026059.288
619,1014431.08
620,1025342.512
621,1027448.784
622,1016508.672
623,1014247.808
624,1014429.68
625,1034585.976
626,994983.76
627,1002285.376
628,1004241.856
629,991983.008
630,1001421.128
631,973677.208
632,1020354.344
633,989067.08
634,1015064.256
635,996520.36
636,989685.144
637,986500.4
638,999809.36
639,997014.408
640,997122.312
641,999170.472
642,957831.528
643,976209.296
644,985954.904
645,958415.344
646,985753.784
647,986879.192
648,964404.24
649,972607.28
650,958436.136
651,1008697.536
652,989982.208
653,957240.168
654,978377.52
655,963792.384
656,943761.608
657,973122.696
658,965014.008
659,961460.328
660,957015.896
661,953166.376
662,960332.336
663,961041.944
664,933864.8
665,953843.264
666,966372.424
667,937009.648
668,942440.784
669,946190.088
670,973409.568
671,940394.0
672,939701.248
673,940716.864
674,937064.472
675,943902.424
676,953468.432
677,908960.88
678,902291.784
679,921122.944
680,926425.952
681,945811.848
682,930813.504
683,927411.744
684,950472.592
685,948698.664
686,921386.792
687,933330.64
688,926381.648
689,918766.456
690,916940.936
691,930171.32
692,897846.528
693,896758.28
694,927287.512
695,932599.088
696,923893.08
697,909040.8
698,919459.848
699,907416.352
700,905761.2
701,892696.544
702,903768.88
703,894284.36
704,901088.36
705,900311.384
706,894534.736
707,913459.848
708,889203.992
709,886499.84
710,909952.984
711,918565.888
712,910144.944
713,883606.456
714,896574.448
715,872986.024
716,903595.928
717,891172.328
718,904853.712
719,866935.584
720,884187.304
721,886225.44
722,885981.592
723,891029.104
724,888369.896
725,879918.312
726,866739.728
727,886073.696
728,859823.168
729,871421.376
730,892838.72
731,885313.552
732,878806.96
733,901167.52
734,876751.808
735,881565.008
736,844544.6
737,876211.208
738,881323.592
739,858991.408
740,867124.36
741,856652.72
742,855831.216
743,877022.008
744,869288.768
745,866163.992
746,864420.08
747,871458.568
748,876636.616
749,875830.496
750,857252.304
751,870848.688
752,865438.32
753,869921.072
754,856524.256
755,866034.512
756,855384.096
757,832925.216
758,887287.064
759,864806.0
760,863072.392
761,840967.056
762,866525.192
763,827402.888
764,846766.664
765,845585.736
766,854776.584
767,854449.152
768,841043.624
769,855426.192
770,868477.056
771,839732.888
772,841366.832
773,870431.568
774,866942.328
775,832356.6
776,871903.608
777,835622.344
778,851950.232
779,859052.144
780,838635.568
781,854882.064
782,844245.016
783,861641.808
784,846904.352
785,840173.704
786,855566.608
787,840521.472
788,843943.08
789,856888.52
790,841230.208
791,845596.432
792,837577.904
793,846683.736
794,833486.032
795,833412.992
796,831981.84
797,838488.312
798,832768.592
799,849884.808
800,825493.304
801,827750.808
802,822336.76
803,835263.712
804,840264.928
805,837864.736
806,810988.272
807,833432.056
808,810658.08
809,808148.392
810,811809.608
811,809965.632
812,810581.44
813,819681.792
814,827236.952
815,820110.52
816,819334.32
817,824002.808
818,816065.088
819,814919.656
820,821892.376
821,813759.184
822,826911.392
823,829334.48
824,833410.488
825,812956.728
826,818657.304
827,796833.416
828,811034.216
829,827678.936
830,791228.712
831,812843.08
832,828422.024
833,797306.224
834,819251.816
835,819881.08
836,813931.688
837,811026.16
838,824794.744
839,824277.8
840,807900.272
841,807760.064
842,817623.96
843,809091.224
844,816320.784
845,782082.896
846,822136.672
847,821316.32
848,796623.608
849,818376.592
850,833352.216
851,799103.68
852,797622.656
853,828629.984
854,817322.824
855,805721.624
856,831312.416
857,820385.08
858,810286.232
859,784833.68
860,799643.648
861,815054.64
862,806848.904
863,793278.464
864,810783.84
865,806373.488
866,809635.784
867,809911.192
868,798493.256
869,824467.784
870,814602.6
871,825726.032
872,803113.16
873,829549.144
874,822963.048
875,807246.712
876,806188.24
877,800799.776
878,802761.656
879,825010.608
880,792277.576
881,805638.856
882,821709.072
883,811302.664
884,803102.136
885,808576.704
886,802454.672
887,805470.112
888,815477.76
889,798970.504
890,793030.768
891,793589.4
892,801549.808
893,799491.048
894,794263.168
895,802086.024
896,797191.0
897,788944.432
898,788475.184
899,791801.32
900,795410.328
901,801897.328
902,802348.88
903,807144.472
904,807124.208
905,797314.472
906,792713.168
907,821078.272
908,799287.784
909,810516.376
910,796656.776
911,794779.944
912,817634.816
913,818947.336
914,797176.968
915,788758.752
916,809676.552
917,805652.664
918,793485.816
919,771846.392
920,796688.328
921,798987.272
922,817116.376
923,795919.432
924,800746.584
925,798326.0
926,798901.128
927,794104.384
928,799034.816
929,796612.112
930,813008.072
931,771379.76
932,812774.328
933,799036.296
934,788226.856
935,786029.08
936,784015.168
937,776802.648
938,775598.72
939,789861.184
940,801009.056
941,799668.336
942,800988.008
943,799927.976
944,787122.52
945,785271.088
946,796864.288
947,810233.528
948,790172.632
949,783248.648
950,797812.328
951,791198.728
952,810259.72
953,804881.848
954,789776.968
955,805695.408
956,805057.264
957,800234.816
958,802094.36
959,767931.384
960,790250.304
961,790971.32
962,791632.392
963,784346.016
964,799994.232
965,811548.104
966,778404.776
967,801940.664
968,786018.384
969,793665.896
970,788642.816
971,801820.824
972,784965.624
973,804317.472
974,787475.336
975,812470.304
976,791363.968
977,787067.136
978,782914.24
979,792116.44
980,807469.832
981,802087.448
982,775804.872
983,796525.752
984,805751.944
985,807211.024
986,807538.168
987,776347.048
988,803771.2
989,812698.704
990,806189.112
991,789290.544
992,774756.68
993,771907.48
994,769359.704
995,799749.872
996,795658.24
997,809433.328
998,781062.864
999,785777.104
1000,806672.528
