epoch,train_loss
1,1182089052.16
2,1211818467.328
3,526523232.256
4,104912715.52
5,68815144.448
6,58317666.304
7,53784448.0
8,52172819.2
9,51557278.464
10,50649694.208
11,48759490.304
12,47398809.344
13,45890983.424
14,42515715.328
15,41203454.464
16,38152619.776
17,36403646.976
18,34784651.648
19,35370450.176
20,34093104.128
21,34390920.832
22,34746640.896
23,33880115.84
24,34872869.888
25,33804380.032
26,34371264.64
27,34351873.152
28,33890978.688
29,34211461.376
30,34546564.224
31,34323341.824
32,34139084.16
33,33972427.904
34,33452747.392
35,33852029.824
36,33740220.16
37,33570186.368
38,32855101.824
39,32285217.536
40,30563645.056
41,29616476.928
42,26282195.328
43,22617853.952
44,20946436.864
45,21094325.184
46,20905230.144
47,20260362.432
48,19633282.56
49,19500942.528
50,19085214.72
51,18138472.576
52,15988108.48
53,14649490.048
54,12560224.768
55,10337552.512
56,10742398.88
57,12879297.248
58,10981747.968
59,9061567.776
60,6854775.712
61,6321637.44
62,5930233.696
63,5925324.672
64,5749360.96
65,5647155.2
66,5391187.616
67,5417008.64
68,5089256.224
69,5095906.976
70,5071547.072
71,4825702.4
72,4737638.912
73,5071383.584
74,4945140.32
75,4420318.16
76,4185691.856
77,3910399.632
78,3861049.728
79,3910968.08
80,3772503.584
81,3830360.464
82,3680247.68
83,3619020.608
84,3531981.536
85,3468040.496
86,3763854.752
87,3663053.928
88,3475280.048
89,3767417.984
90,3790830.848
91,3754887.68
92,3615951.264
93,3565077.808
94,3413772.992
95,3453491.632
96,3543820.544
97,3357723.76
98,3390686.576
99,3461772.432
100,3558279.36
101,3530981.424
102,3402055.104
103,3416907.296
104,3359863.28
105,3324224.448
106,3320072.72
107,3259974.24
108,3394975.024
109,3549365.28
110,3644630.368
111,8261287.36
112,5830707.232
113,5336842.224
114,4489438.08
115,4092880.432
116,3846491.424
117,3500375.728
118,3431285.968
119,3540486.224
120,3544034.224
121,3966877.664
122,4638506.368
123,4156027.632
124,3607598.928
125,3442768.48
126,3358141.344
127,3306033.488
128,3320791.136
129,3207586.88
130,3234635.208
131,3267055.904
132,3308669.2
133,3259913.856
134,3488629.712
135,4017662.928
136,5017435.776
137,3751042.752
138,4018976.384
139,3569079.76
140,3330453.424
141,3293190.608
142,3309648.128
143,3238894.992
144,3220724.144
145,3224693.584
146,3233982.496
147,3195148.08
148,3152030.592
149,3236325.104
150,3257417.568
151,3148467.392
152,3263420.048
153,3163350.912
154,3204018.512
155,3112859.984
156,3057950.72
157,3041441.136
158,3008963.968
159,3022226.048
160,3065458.712
161,2928460.032
162,2881056.928
163,2904623.936
164,2800898.808
165,2800078.368
166,2689639.152
167,2571322.656
168,2478813.144
169,2403926.88
170,2301405.8
171,2208641.984
172,2207467.368
173,2293552.52
174,2218103.136
175,2138572.728
176,2357680.488
177,2076784.808
178,1932672.248
179,1939424.96
180,2011799.992
181,2082930.856
182,2462294.344
183,2649840.936
184,3239680.112
185,2864956.328
186,2810732.656
187,2131913.056
188,1890712.632
189,1807290.832
190,1760281.0
191,1934843.72
192,2246126.336
193,2823963.008
194,3259140.656
195,2272155.344
196,2236046.52
197,1846538.584
198,2090515.408
199,1760286.192
200,1497026.824
201,1657136.992
202,1582633.224
203,1559694.304
204,4431466.352
205,7041443.32
206,8007648.784
