epoch,train_loss
1,1153953300.48
2,1149461504.0
3,1212696584.192
4,1154007121.92
5,1067738685.44
6,1173847588.864
7,1142875791.36
8,1116665372.672
9,1197309837.312
10,1124955750.4
11,1074627420.16
12,1147310333.952
13,1133804453.888
14,1134523768.832
15,1064861933.568
16,1114359308.288
17,1146786185.216
18,1192191803.392
19,1151441084.416
20,1152555999.232
21,1168145694.72
22,1154313289.728
23,1122850406.4
24,1158053928.96
25,1150561673.216
26,1119851659.264
27,1181954916.352
28,1140768768.0
29,1211249491.968
30,1166584184.832
31,1117476143.104
32,1192351965.184
33,1145147236.352
34,1114933092.352
35,1144007811.072
36,1104497729.536
37,1219222274.048
38,1132737994.752
39,1148421980.16
40,1115774902.272
41,1164666265.6
42,1178299351.04
43,1150031790.08
44,1135867191.296
45,1088413876.224
46,1159905075.2
47,1161541713.92
48,1115711504.384
49,1118871052.288
50,1113219629.056
51,1138600583.168
52,1089801658.368
53,1144307515.392
54,1194288783.36
55,1152080461.824
56,1139379838.976
57,1136815570.944
58,1128421457.92
59,1180739731.456
60,1138261925.888
61,1127263477.76
62,1106083217.408
63,1149687914.496
64,1167352889.344
65,1153096613.888
66,1150735327.232
67,1138251792.384
68,1155179610.112
69,1172230627.328
70,1186138324.992
71,1182801149.952
72,1094022045.696
73,1116594192.384
74,1161255215.104
75,1166309031.936
76,1152095698.944
77,1153576828.928
78,1167404400.64
79,1158015467.52
80,1157076541.44
81,1178821345.28
82,1122947358.72
83,1181632872.448
84,1190642614.272
85,1174609010.688
86,1163475935.232
87,1069455966.208
88,1086550548.48
89,1121578377.216
90,1131291885.568
91,1136730570.752
92,1092133330.944
93,1104939646.976
94,1130606682.112
95,1100487983.104
96,1141240700.928
97,1174345965.568
98,1167328985.088
99,1103804137.472
100,1030251487.232
101,1184422805.504
102,1153305362.432
103,1153661870.08
104,1145860161.536
105,1104876912.64
106,1175869857.792
107,1161057271.808
108,1142781657.088
109,1097598959.616
110,1137517568.0
111,1174240509.952
112,1133940850.688
113,1164045418.496
114,1203025068.032
115,1137593647.104
116,1102396604.416
117,1094638632.96
118,1156906090.496
119,1145086042.112
120,1146827145.216
121,1182641848.32
122,1119128805.376
123,1205749334.016
124,1162096295.936
125,1140865630.208
126,1152321568.768
127,1169272799.232
128,1122138783.744
129,1163000807.424
130,1138433302.528
131,1171762692.096
132,1165257302.016
133,1147320418.304
134,1146809647.104
135,1130162520.064
136,1106325233.664
137,1121469218.816
138,1151390654.464
139,1065598345.216
140,1137302683.648
141,1128135901.184
142,1138752602.112
143,1176362975.232
144,1151372754.944
145,1150626562.048
146,1148291883.008
147,1147604271.104
148,1115210899.456
149,1116976013.312
150,1158986539.008
151,1129731612.672
152,1165624049.664
153,1133018669.056
154,1107728777.216
155,1093028347.904
156,1150703681.536
157,1129597329.408
158,1139172564.992
159,1199913967.616
160,1147593326.592
161,1143976099.84
162,1076078338.048
163,1140863787.008
164,1122298822.656
165,1168366166.016
166,1150080278.528
167,1148567797.76
168,1098261209.088
169,1123351691.264
170,1092529373.184
171,1097110790.144
172,1107210616.832
173,1108160266.24
174,1176839061.504
175,1077270302.72
176,1072972128.256
177,1145629032.448
178,1130683678.72
179,1158446997.504
180,1108230864.896
181,1144743026.688
182,1136275243.008
183,1146641244.16
184,1123900039.168
185,1181570449.408
186,1118352932.864
187,1114430062.592
188,1134001897.472
189,1145403883.52
190,1118937972.736
191,1130112548.864
192,1134120001.536
193,1136215613.44
194,1157327749.12
195,1124999675.904
196,1085392527.36
197,1152497467.392
198,1135665537.024
199,1163200110.592
200,1123997589.504
201,1118947868.672
202,1159456260.096
203,1171417513.984
204,1123326083.072
205,1164443500.544
206,1113178505.216
207,1191759806.464
208,1087318327.296
209,1168055246.848
210,1123241418.752
211,1180143747.072
212,1148842278.912
213,1107002384.384
214,1133893509.12
215,1131971469.312
216,1086327308.288
217,1136514850.816
218,1151243280.384
219,1108954472.448
220,1149301006.336
221,1140628062.208
222,1126669492.224
223,1178576314.368
224,1158887112.704
225,1132323708.928
226,1146018578.432
227,1135733432.32
228,1124726063.104
229,1170768461.824
230,1149052665.856
231,1138884788.224
232,1195946065.92
233,1130751418.368
234,1130069131.264
235,1135843704.832
236,1137335484.416
237,1099627257.856
238,1174267060.224
239,1069682368.512
240,1116265652.224
241,1127562706.944
242,1155255050.24
243,1066458718.208
244,1162020413.44
245,1052612313.088
246,1171978207.232
247,1173115904.0
248,1132266086.4
249,1148019818.496
250,1132811730.944
251,1139198869.504
252,1115525849.088
253,1132759080.96
254,1154581209.088
255,1122889547.776
256,1053917642.752
257,1063624884.224
258,1099362205.696
259,1180278063.104
260,1151638142.976
261,1115015331.84
262,1177797304.32
263,1139538911.232
264,1138098216.96
265,1100109774.848
266,1099659739.136
267,1143382089.728
268,1174477086.72
269,1130901495.808
270,1157963284.48
271,1194787143.68
272,1143011213.312
273,1134639341.568
274,1172410318.848
275,1075143245.824
276,1161726820.352
277,1175445643.264
278,1127685996.544
279,1122771746.816
280,1133094076.416
281,1124586840.064
282,1170485223.424
283,1098706788.352
284,1156359602.176
285,1136263831.552
286,1157731672.064
287,1128205836.288
288,1125820719.104
289,1158764838.912
290,1139330473.984
291,1152872710.144
292,1145595289.6
293,1158682181.632
294,1160055095.296
295,1133340557.312
296,1157273944.064
297,1146184966.144
298,1064974712.832
299,1151504687.104
300,1098651525.12
301,1104790503.424
302,1145746046.976
303,1069693673.472
304,1090168078.336
305,1173128298.496
306,1119459450.88
307,1109667700.736
308,1162698522.624
309,1151536406.528
310,1106871959.552
311,1175444504.576
312,1099402526.72
313,1142579462.144
314,1115369152.512
315,1117913579.52
316,1133884555.264
317,1145983074.304
318,1067594702.848
319,1110114836.48
320,1149866786.816
321,1177414213.632
322,1105793302.528
323,1134003781.632
324,1126513868.8
325,1114081165.312
326,1144793333.76
327,1065482027.008
328,1139786252.288
329,1158279757.824
330,1126323044.352
331,1203576160.256
332,1032723316.736
333,1172423925.76
334,1118094770.176
335,1073775206.4
336,1112482635.776
337,1144407457.792
338,1108666736.64
339,1151943507.968
340,1030738468.864
341,1046086033.408
342,1108924358.656
343,1146882359.296
344,1166026416.128
345,1132250710.016
346,1099702116.352
347,1124036608.0
348,1175751852.032
349,1119959130.112
350,1113298329.6
351,1086976081.92
352,1095849820.16
353,1072948559.872
354,1096997789.696
355,1109819301.888
356,1154558836.736
357,1123139346.432
358,1089391632.384
359,1146155163.648
360,1152778584.064
361,1135793954.816
362,1099572535.296
363,1061584003.072
364,1079944970.24
365,1073927061.504
366,1099474272.256
367,1103891431.424
368,1081070845.952
369,1136582795.264
370,1088881844.224
371,1109282381.824
372,1121204805.632
373,1134835228.672
374,1133135331.328
375,1082737868.8
376,1131326152.704
377,1103476604.928
378,1189542428.672
379,1135317270.528
380,1094026534.912
381,1158800654.336
382,1055515918.336
383,1104229187.584
384,1102220787.712
385,1120356786.176
386,1079392542.72
387,1121454039.04
388,1125341093.888
389,1097346809.856
390,1014081454.08
391,1144119394.304
392,1087249514.496
393,1106312609.792
394,1136143482.88
395,1119082856.448
396,1123523371.008
397,1065762455.552
398,1126354993.152
399,1090669854.72
400,1105602494.464
401,1102376083.456
402,1050211024.896
403,1111948361.728
404,1055617105.92
405,1091586727.936
406,1137314070.528
407,1077130870.784
408,1098298957.824
409,1102151729.152
410,1120629882.88
411,1166622965.76
412,1130885611.52
413,1075983024.128
414,1055667527.68
415,1062267461.632
416,1120093290.496
417,1117328097.28
418,1106867462.144
419,1131994816.512
420,1015695409.152
421,1064568963.072
422,1054580736.0
423,1095372652.544
424,1125649268.736
425,1075247448.064
426,1105950236.672
427,1112662474.752
428,1135841370.112
429,1141522710.528
430,1106875260.928
431,1125396594.688
432,1140833165.312
433,1118685683.712
434,1094834683.904
435,1113235488.768
436,1074684223.488
437,1074066890.752
438,1101702053.888
439,1200203177.984
440,1096374837.248
441,1126301851.648
442,1053895532.544
443,1137283784.704
444,1057500856.32
445,1099240775.68
446,1130948526.08
447,1126197166.08
448,1166977351.68
449,1166848262.144
450,1110789275.648
451,1109829296.128
452,1157702516.736
453,1108736016.384
454,1022751285.248
455,1106638856.192
456,1075528671.232
457,1146477641.728
458,1091096772.608
459,1144924372.992
460,1084520226.816
461,1137887854.592
462,1098501918.72
463,1104920436.736
464,1099656265.728
465,1075081756.672
466,1118555078.656
467,1088571219.968
468,1063112712.192
469,1072805683.2
470,1106862137.344
471,1135358787.584
472,1088254730.24
473,1117616553.984
474,1084113453.056
475,1152491651.072
476,1078521167.872
477,1116553953.28
478,1130759741.44
479,1099981512.704
480,1119393316.864
481,1097896198.144
482,1076993515.52
483,1105165344.768
484,1132934299.648
485,1180339519.488
486,1075292839.936
487,1108804771.84
488,1057747214.336
489,1050319093.76
490,1095294787.584
491,1134086037.504
492,1096816189.44
493,1113071206.4
494,1099426185.216
495,1121564385.28
